robot1_time,robot2_time,combined_time,total_time,total_readings,total_points,robot1_roc_auc,robot1_nll,robot1_unknown_percentage,robot1_classified_area,robot1_total_points,robot2_roc_auc,robot2_nll,robot2_unknown_percentage,robot2_classified_area,robot2_total_points,combined_roc_auc,combined_nll,combined_unknown_percentage,combined_classified_area,timestamp,step,step_percentage
5.909508228302002,8.259731531143188,3.0817954540252686,17.25103521347046,193590,4030878,0.5973364990055322,0.8872428316829918,64.67041666666667,35.32958333333333,1658396,0.6297419788404004,0.9820826946631063,51.312916666666666,48.687083333333334,2372482,0.7384985902291454,0.3061693251560616,24.964583333333334,75.03541666666666,2025-07-03 15:35:28,1,100.0
2.947648286819458,4.2143778800964355,1.551476240158081,8.713502407073975,96840,2016055,0.5556986835586903,0.7710367068621169,81.48875,18.51125,830013,0.5986454214036202,0.7697977062768661,70.60666666666665,29.39333333333333,1186042,0.7202112296301248,0.3003152453487502,48.54666666666667,51.453333333333326,2025-07-03 15:35:39,2,50.0
1.9829654693603516,2.836334705352783,1.0412862300872803,5.860586404800415,64620,1345569,0.529706594106734,0.7380255723879493,89.92125,10.07875,554140,0.5612221764637061,0.7244369995357222,82.63083333333333,17.369166666666665,791429,0.7040043376844779,0.3415208729008097,66.94708333333334,33.05291666666667,2025-07-03 15:35:46,3,33.33333333333333
1.4985020160675049,2.1205227375030518,0.7771267890930176,4.396151542663574,48420,1008410,0.5180079602881449,0.7143488199453228,94.21875,5.78125,415118,0.5363251759121526,0.7139675889960149,89.54875,10.45125,593292,0.6927947105681,0.3821274967633423,78.99166666666667,21.008333333333333,2025-07-03 15:35:52,4,25.0
1.187190294265747,1.6676983833312988,0.6277427673339844,3.4826314449310303,38790,807802,0.5116956627835069,0.7061321377424351,96.30499999999999,3.695,332380,0.5242910361518277,0.7022187442855238,93.29208333333334,6.707916666666666,475422,0.6817890213434508,0.4172626185487894,86.19291666666666,13.807083333333333,2025-07-03 15:35:56,5,20.0
0.6299827098846436,0.8465416431427002,0.31772470474243164,1.7942490577697754,19440,404857,0.5035543781651652,0.6965060562724088,98.90291666666667,1.0970833333333334,167201,0.5061369524159717,0.6957869160725778,98.27916666666667,1.7208333333333332,237656,0.6373163137503969,0.522955349140598,96.49583333333334,3.5041666666666664,2025-07-03 15:35:58,10,10.0
0.3043074607849121,0.4270966053009033,0.16091513633728027,0.8923192024230957,9810,204140,0.5020494058264111,0.691809984124115,99.54708333333333,0.45291666666666663,84484,0.5014764921194698,0.6967919794843899,99.42083333333333,0.5791666666666666,119656,0.593908316023466,0.597530038612391,98.86,1.1400000000000001,2025-07-03 15:35:59,20,5.0
0.12804293632507324,0.17592811584472656,0.06711125373840332,0.3710823059082031,3960,82432,0.5006122578596379,0.6932280477310107,99.83833333333332,0.16166666666666665,33800,0.5005563336731794,0.6939529641573461,99.81291666666667,0.18708333333333332,48632,0.5519326545770586,0.6522942244229918,99.62916666666666,0.37083333333333335,2025-07-03 15:36:00,50,2.0
0.08146810531616211,0.10062098503112793,0.04056239128112793,0.22265148162841797,2340,48677,0.500563654292925,0.6925291243239459,99.88916666666667,0.11083333333333334,20620,0.5006270996640538,0.6923385088492919,99.88333333333334,0.11666666666666668,28057,0.5306308803128812,0.6685189179341635,99.77041666666666,0.22958333333333333,2025-07-03 15:36:00,85,1.1764705882352942
0.05988574028015137,0.07330322265625,0.030224084854125977,0.16341304779052734,1710,35570,0.5004748040313549,0.6925349005504506,99.91166666666666,0.08833333333333333,15039,0.4997927161504906,0.6959168811689327,99.90124999999999,0.09875,20531,0.5187359348832544,0.6763461466748639,99.8125,0.1875,2025-07-03 15:36:01,120,0.8333333333333334
0.04346752166748047,0.04697394371032715,0.01941680908203125,0.10985827445983887,1080,22269,0.5002157744313148,0.6930865301816462,99.94791666666667,0.052083333333333336,9357,0.499972489177851,0.6942706566151028,99.94541666666666,0.05458333333333333,12912,0.5134389388778393,0.6827725979862508,99.89333333333333,0.10666666666666667,2025-07-03 15:36:01,200,0.5
